Review,Removedup,Sentimen
repeat order,repeat order,Netral
masalah kulitku pori besar,masalah kulitku pori besar,Negatif
"ini beda nih dari pertama beli wkwk first time nyobain jatuh cinta bgt, waktu itu pilih shade strawberrypine sama raspberry muffin. trus ini pembelian kedua, ngerasa ini formulanya beda bgt. ini lebih berminyak tapi short-lasting wkwk masa iya abis minum aer ilang, lah coba itu rugi dong 😭 🫵 udahlah, aku pindah haluan aja, byeee ✨",ini beda nih dari pertama beli  first time nyobain jatuh cinta bgt waktu itu pilih shade strawberrypine sama raspberry muffin trus ini pembelian kedua ngerasa ini formulanya beda bgt ini lebih berminyak tapi short lasting  masa iya abis minum aer ilang lah coba itu rugi dong udahlah aku pindah haluan aja byeee,Negatif
"tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar, overall worth it",tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth it,Netral
kecepatan pengiriman baik. ada bubble warp.,kecepatan pengiriman baik ada bubble warp,Netral
tipe kulitku sensitif  masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral
dpt harga ceban yay. blm dicoba,dpt harga ceban yay blm dicoba,Netral
"pembelian kesekian kalinya. cocok di muka apalagi klo pas jerawatan, kulitnya tetep bs bnafas",pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,Netral
ternyata dapet 2 ya. baru pertama kali semoga cocok,ternyata dapet ya baru pertama kali semoga cocok,Netral
"mudah2an cocok, terima kasih👍🏻",mudahan cocok terima kasih,Positif
udh sering beli ini dan selalu cocok,udh sering beli ini dan selalu cocok,Netral
barang datang dengan selamat walau agak lama datangnya,barang datang dengan selamat walau agak lama datangnya,Netral
"packing nya bagus bgt utk cream dg hrg segitu. tekstur ringan cepet meresap di kulit, ga ada bau menyengat samsek. semoga cocok di kulit aku yg kering tp bruntusan.  tq.",packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,Positif
terima kasih...,terima kasih,Netral
"Bahannya ringan, mudah menyerap cocok di kulit aku yg berjerawat. gak bikin breakout. The best pokoknya👍🏻👍🏻",bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,Netral
tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku kombinasi masalah kulitku jerawat,Netral
"tipe kulitku berminyak masalah kulitku pori besar ,original 100%  terimakasih.",tipe kulitku berminyak masalah kulitku pori besar original terimakasih,Netral
"bahannya ringan, cocok digunakan",bahannya ringan cocok digunakan,Positif
"tipe kulitku berminyak, baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk",tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk,Netral
"barang datang sesuai, packing nya aman serta pengiriman cepat",barang datang sesuai packing nya aman serta pengiriman cepat,Netral
"Berasa cerah jika sudah pakai, cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg",berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg,Netral
"udah beberapa tahun pake emang cocok, karena ga white cast gitu, nyaman, ringan juga, thanks seller tipe kulitku kombinasi",udah beberapa tahun pake emang cocok karena ga white cast gitu nyaman ringan juga thanks seller tipe kulitku kombinasi,Netral
warnanya cantik bangettt,warnanya cantik bangettt,Netral
cocok di tipe kulitku kombinasi,cocok di tipe kulitku kombinasi,Netral
"Jujur agak panik pas liat dusnya penyok. Tapi ternyata isinya aman. Meskipun pas buka dus kemasan, tutup botol moist nya agak kurang rapet, untung isinya masih aman, gak luber kemana - mana.",jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana,Netral
"Jujur agak panik pas liat dusnya penyok. Tapi ternyata isinya aman. Meskipun pas buka dus kemasan, tutup botol moist nya agak kurang rapet, untung isinya masih aman, gak luber kemana - mana. 
Baru sekali pake produk yang ini, oke banget pas dipake ke kulit. Cocok. Suka sama packing barunya.",jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana baru sekali pake produk yang ini oke banget pas dipake ke kulit cocok suka sama packing barunya,Netral
Cocok di kulit berminyak Kemasannya lucu 😆,cocok di kulit berminyak kemasannya lucu,Netral
"bahannya ringan, cepet meresap terus packaging nya ok banget",bahannya ringan cepet meresap terus packaging nya ok banget,Netral
Terima kasih banyak paket sudah sampai dengan selamat,terima kasih banyak paket sudah sampai dengan selamat,Netral
Barang bagus sesuai packing mantap terima kasih 😊🙏.,barang bagus sesuai packing mantap terima kasih,Netral
Gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti2 lagi,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi,Netral
Produk sangat bangus! langsung menyerap dan membuat lembab!,produk sangat bangus langsung menyerap dan membuat lembab,Netral
Udah repurchase berkali2. Produk simple dan efektif. Packaging jg simple dan aman,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman,Netral
"Cocok di kulit saya, tekstur ringan dan sangat cepat menyerap di kulit. Super recommended.",cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended,Positif
baru pertama kali beli skin game mudah mudahan cocok,baru pertama kali beli skin game mudah mudahan cocok,Negatif
"Akhirnyaaa menemukan moisturizer yg cocokkk!! Moistnya ringan, dan cepet menyerap. Aku udah make 2tube. 1tube bisa dipake 2bulan lebih. Tergantung pemakaiannya.",akhirnyaaa menemukan moisturizer yg cocokkk moistnya ringan dan cepet menyerap aku udah make tube tube bisa dipake bulan lebih tergantung pemakaiannya,Netral
"baguss, semoga cocok 💗",baguss semoga cocok,Netral
baru mau dicoba semoga cocok,baru mau dicoba semoga cocok,Positif
produk ori dan aman. kakak adminnya juga ramah banget. bakal repurchase lagiii deh kayaknya,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya,Positif
"pengiriman dan pengemasan cepat bgt aman produk sesuai , udh pernah coba dan lumayan bikin jerawat cpt mateng. thankyou",pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou,Netral
"Baunya agak aneh, apek dan bau besi seperti dr tempatnya. Saya pernah pakai sabun lain yg tanpa bau, tp ga pernah spt ini. Jd kurang nyaman pakainya dan sampai skrg masih ada",baunya agak aneh apek dan bau besi seperti dr tempatnya saya pernah pakai sabun lain yg tanpa bau tp ga pernah spt ini jd kurang nyaman pakainya dan sampai skrg masih ada,Netral
"Dari dulu, selalu jadi langganan untuk solusi kalau lagi jerawatan. Bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail. I love you 3000 kembali serebu. 🤍🤍🤍",dari dulu selalu jadi langganan untuk solusi kalau lagi jerawatan bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail  love you kembali serebu,Netral
"barang sampai dgn selamat, packagingnya jg aman. semoga cocok!",barang sampai dgn selamat packagingnya jg aman semoga cocok,Positif
"warna nya kuning, entah karena apa",warna nya kuning entah karena apa,Netral
"baru pertama kali coba, semoga cocok thank you seller",baru pertama kali coba semoga cocok thank you seller,Positif
barang sampai dgn selamat,barang sampai dgn selamat,Negatif
packing rapi dan aman. barang sesuai pesenan,packing rapi dan aman barang sesuai pesenan,Netral
This moisturizer is seriously a game changer. I love how one bottle could last me months,this moisturizer is seriously  game changer  love how one bottle could last me months,Netral
baeu nyoba pertama kali. smoga bisa cocok krn reviewnya bagus,baeu nyoba pertama kali smoga bisa cocok krn reviewnya bagus,Netral
Mantap sesuaiii semoga cocok,mantap sesuaiii semoga cocok,Netral
Tadinya mau beli diofflinestore tp mahal bgt 99k pas cek dionline store nya cuma 65k karena dpt potongan sm lg flashsale langsung beli,tadinya mau beli diofflinestore tp mahal bgt  pas cek dionline store nya cuma  karena dpt potongan sm lg flashsale langsung beli,Positif
makasiihh 👍👍👍👍👍👍👍,makasiihh,Positif
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 makasih,makasih,Netral
makasiihh 👍👍👍👍👍👍👍.. tp tumben ga ada gift nya 🤪,makasiihh tp tumben ga ada gift nya,Netral
"tipe kulitku berminyak masalah kulitku jerawat
Semoga cocok sama rangkaian ini 
Terimakasih",tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian ini terimakasih,Netral
Stlh semingguan pke muka jd bruntusan gtw emng efek samping pemakaian ato emng ga cocok,stlh semingguan pke muka jd bruntusan gtw emng efek samping pemakaian ato emng ga cocok,Netral
Bagus,bagus,Positif
Pengirimannya cukup cepat dan barang yg dikirimkan sesuai pesanan. Expired datenya 08 dan 09.2026,pengirimannya cukup cepat dan barang yg dikirimkan sesuai pesanan expired datenya dan,Positif
"cocok dikulit saya, ngak kering atau ketarik, pengiriman cepet, mantull",cocok dikulit saya ngak kering atau ketarik pengiriman cepet mantull,Positif
"lipstiknya mudah patah, saran kalau pakai jangan diulur terlalu panjang.",lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang,Positif
"barang lengkap, packing aman dan rapi. belum coba productnya. semoga cocok. tipe kulitku normal",barang lengkap packing aman dan rapi belum coba productnya semoga cocok tipe kulitku normal,Positif
"Bacanya review nya bagus2, mudah2an jg cocok. Terima kasih bonusnya, pas banget pas lagi butuh..",bacanya review nya bagus mudahan jg cocok terima kasih bonusnya pas banget pas lagi butuh,Positif
Cocok dikulit. Sebelum pakai jerawat 2 biji di pipi agak meradang. Malam dikasih besoknya udh mendingan dan kempes.,cocok dikulit sebelum pakai jerawat biji di pipi agak meradang malam dikasih besoknya udh mendingan dan kempes,Netral
Sebenarnya bagus. Tapi di aq jatuhnya bikin bibir agak kering. Walaupun sebelum pake lipstick udh pakai lipbalm. Warnanya pigmented bgt. Merah queennya bagus bgt,sebenarnya bagus tapi di aq jatuhnya bikin bibir agak kering walaupun sebelum pake lipstick udh pakai lipbalm warnanya pigmented bgt merah queennya bagus bgt,Netral
"Exp date msh lama,pengirimannya jg cepat,dapet diskonnya lumayan lagi😁,,thanks somethinc 👍👍",exp date msh lama pengirimannya jg cepat dapet diskonnya lumayan lagi thanks somethinc,Positif
"semoga cocok di kulitku yg sensitif ini, karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout!❤️",semoga cocok di kulitku yg sensitif ini karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout,Positif
Belum dicoba. smg cocok,belum dicoba smg cocok,Netral
sesuai deskripsi,sesuai deskripsi,Positif
"paket aman, semoga cocok.",paket aman semoga cocok,Positif
masalah kulitku pori besar,masalah kulitku pori besar,Netral
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,Netral
"kiriman cepat, packing bagus",kiriman cepat packing bagus,Positif
Sesuai dengan deskripsi,sesuai dengan deskripsi,Positif
"bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman + gak ada bublewrapnya, padahal perjalanan jauh dari sidoarjo sampe jakarta.",bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman gak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampe jakarta,Negatif
"pengirimannya pake sicepat tapi sangat lambat hihi,udh ada d gudang tgl 23/24 baru diantar ke rmh tgl 27,sayang banget ga sesuai nama",pengirimannya pake sicepat tapi sangat lambat  udh ada  gudang tgl baru diantar ke rmh tgl sayang banget ga sesuai nama,Negatif
paket diterima dengan keadaan baik,paket diterima dengan keadaan baik,Positif
"baru pertama pakai, semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi",baru pertama pakai semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi,Netral
fast respon,fast respon,Positif
Niceeeee,niceeeee,Positif
"Worth the price, 2 pcs dapat harga 60k cashback 8k🤓",worth the price pcs dapat harga  cashback ,Netral
thx ya😉😊,thx ya,Positif
agak kecewa sm pengemasannya. kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya. untung paketnya aman,agak kecewa sm pengemasannya kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif
"packing aman banget , semoga cocok",packing aman banget semoga cocok,Positif
"alhamdulillah aku cocok pakai azarine, kulit wajah ku perlahan teratasi dgn azarine, thanks azarine 👍🤗💗💗",alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine,Positif
"Repurchased, nda bikin kusam, affordable 😄",repurchased nda bikin kusam affordable,Netral
Barang bagus sesuai packing mantap terima kasih 😊🙏.,barang bagus sesuai packing mantap terima kasih,Positif
